response,id,wc,zwp,wi,dtj,bnf,qh,ent,sci,ypz,bw,tdt,sb,ox,xt,np,ku,is
N,549459,d,R,gmz,3,J,1.72250634448674,A,1.38169866506456,0,0.39988,zp,s2,bf,ntb,j,x,3.9366
N,426628,d,N,gmz,3.60555,J,2.01204613480423,A,1.4121803018517,4,0.4,zp,s2,bf,ntb,k,y,0.90584
N,175041,b,R,gmz,3.4641,K,1.76288300962973,B,1.36661097842805,11,0.37417,sm,s2,fy,ntb,j,y,4.8115
N,172179,d,T,gmz,3.4641,L,1.65138532631539,A,1.36878405350482,11,0.31623,sm,s2,fy,ntb,j,y,3.7408
N,331142,b,N,gmz,3,I,1.73666440401136,B,1.3814440608284,1,0.37417,sm,s2,bf,fcc,j,u,4.653
N,99654,b,R,gmz,3.74166,L,2.20105174130475,A,1.46797934001678,9,0.44721,zp,s2,bf,ntb,j,z,4.6234
N,464972,b,S,gmz,2.64575,J,1.87083497914525,A,1.41857813652111,10,0.42427,sm,s2,bf,ntb,k,z,2.4133
Y,455863,c,N,gnq,3.74166,J,2.15984014977281,A,1.32557493861855,15,0.42427,sm,s2,bf,ntb,j,z,3.4837
N,589020,b,S,gmz,0,I,1.56721483424349,A,1.40866016074563,11,0.44698,sm,s2,jl,ntb,j,v,1.4174
N,45194,b,S,gmz,2.64575,J,1.72483888766103,B,1.41413328005657,4,0.4,sm,s2,fy,ntb,j,y,3.4677
N,474852,b,S,gmz,3.60555,H,2.19121153927866,A,1.49498434593149,11,0.4899,sm,s2,fy,ntb,k,z,4.011
Y,280556,c,P,gnq,3.16228,L,1.96010925793348,A,1.39911958792123,9,0.44721,zp,s2,bf,ntb,k,x,0.58566
N,170664,d,N,gmz,3.31662,L,1.75797969864531,A,1.37457258709298,0,0.31623,zp,s2,bf,fcc,k,x,4.9693
N,346668,d,R,gmz,3,J,1.6383208763333,A,1.3185859350513,11,0.31623,zp,s2,bf,ntb,j,w,0.033404
N,490717,d,N,gmz,3.74166,M,2.33152403995697,A,1.40938296191559,14,0.44721,zp,s2,fy,ntb,k,v,2.911
Y,295584,c,P,gmz,2.64575,J,1.66401183790889,A,1.33030919225239,1,0.37417,zp,s2,fy,ntb,j,z,2.4792
N,484536,d,N,gmz,3.74166,M,1.89062478430764,A,1.33075581505796,1,0.37417,sm,s2,jl,ntb,k,z,4.2242
Y,439815,b,Q,gmz,3.60555,K,2.44422208122316,A,1.50597061937324,15,0.51962,zp,s2,jl,ntb,k,y,3.2314
Y,129806,b,Y,gmz,2.23607,L,1.62577322693682,B,1.39369577816193,14,0.4,sm,s2,jl,ntb,j,s,3.797
N,158736,d,T,gmz,0,H,1.81628368848556,A,1.41592497766711,15,0.60506,kv,s2,fy,ntb,j,z,3.3969
Y,39669,d,R,gmz,3.16228,J,1.77492575582351,A,1.42130064146563,1,0.37417,kv,s2,bf,ntb,k,z,4.6883
N,300149,d,R,gmz,1.73205,K,1.52978807974544,A,1.33075581505796,11,0.31606,zp,s2,jl,fcc,j,y,0.99475
N,378323,b,S,gmz,0,L,1.45323239034939,B,1.36125544966654,1,0.31528,kc,s2,bf,ntb,j,v,0.50612
N,153611,d,N,gmz,2.82843,K,1.75102161897234,A,1.39748349220384,0,0.4,zp,s2,bf,dgk,k,u,0.9823
Y,552975,b,Y,gmz,2.23607,I,1.54514154942093,A,1.36674822318066,1,0.36056,zp,s4,bf,ntb,j,y,0.0099764
N,249798,d,N,gmz,3.60555,J,1.80985573673458,A,1.40866016074563,1,0.31623,zp,s2,fy,ntb,j,z,0.70542
N,243612,d,R,gmz,3.4641,J,1.6774373919864,A,1.36878405350482,11,0.31623,sm,s2,bf,ntb,j,y,1.9789
N,101767,d,R,gmz,3.60555,K,1.75177913365603,A,1.4129158382174,1,0.31623,zp,s2,fy,ntb,j,y,3.4303
Y,342647,c,R,gmz,3.4641,I,1.94428778565695,A,1.40743630513983,14,0.4,zp,s2,bf,ntb,j,x,2.1867
N,459981,d,N,gmz,3.60555,K,1.6270479275161,A,1.28810169652245,1,0.31623,kc,s2,bf,ntb,j,z,4.5033
N,298930,d,T,gmz,0,I,1.40914291740161,A,1.4129158382174,0,0.31606,kc,s2,ix,ntb,j,w,0.10919
N,252638,d,N,gmz,3.4641,I,1.92327054192071,A,1.35355300326556,1,0.37417,kc,s2,fy,ntb,k,w,1.345
N,533391,d,R,gmz,3,L,1.67604286283317,B,1.3615241081238,0,0.31623,zp,s5,jl,ntb,j,z,1.7585
N,61038,b,S,gmz,1.41421,J,1.47388017669412,A,1.36538057347945,0,0.31623,kc,s2,bf,ntb,j,x,2.4926
N,564581,d,R,gmz,3.60555,K,1.88280181896759,A,1.31305840790472,9,0.31623,zp,s2,bf,dgk,j,w,5.8386
N,228339,d,N,gmz,3.4641,K,1.73783259420298,A,1.3615241081238,0,0.31623,zp,s2,fy,ntb,k,y,1.6249
N,67037,d,N,gmz,3,J,1.62241507988027,A,1.35832092073752,11,0.31623,zp,s2,bf,fcc,j,x,0.49475
Y,113804,b,Y,gmz,3.60555,K,2.00220987219736,A,1.34669419172003,11,0.42427,sm,s6,fy,ntb,j,t,0.93232
N,350901,d,R,gmz,0,L,1.43060917601876,A,1.35832092073752,0,0.31575,kc,s2,ix,ntb,j,v,1.7811
N,582708,d,R,gmz,3,I,1.96781808784609,A,1.37147959781793,13,0.44721,zp,s2,fy,ntb,j,z,1.4608
N,127741,d,R,gmz,3.31662,L,2.15062228556714,B,1.32557493861855,15,0.44721,sm,s2,fy,ntb,j,u,0.58461
N,194936,d,N,gmz,3.16228,K,1.64839238683286,A,1.36194822530906,1,0.31623,zp,s2,jl,fcc,j,u,1.8889
Y,141893,d,R,gmz,3.74166,L,1.84015483875292,A,1.3615241081238,0,0.31623,zp,s2,fy,ntb,k,z,0.75104
N,134326,d,R,gmz,3.4641,J,1.77555453970132,A,1.32786321875079,7,0.37417,zp,s2,fy,ntb,j,z,0.083922
N,2318,b,S,gmz,1.73205,I,1.49920278079394,A,1.3639987733722,1,0.31606,kc,s2,bf,fcc,j,w,2.5937
Y,120606,d,N,gmz,3.16228,J,2.08112768564031,A,1.45266202278956,17,0.47958,zp,s2,bf,ntb,k,z,2.9056
N,253107,b,O,gmz,3,K,1.93428485259731,A,1.43646647165812,16,0.44721,zp,s2,bf,ntb,j,z,1.3629
N,456367,d,N,gmz,3.74166,J,1.75346938967689,A,1.29732592496913,1,0.37417,kc,s2,fy,dgk,j,z,1.2974
N,51437,d,R,gmz,3.4641,K,1.8178343598286,A,1.32125334241385,11,0.37417,zp,s2,bf,dgk,j,z,0.18442
N,488869,d,R,gmz,3.74166,J,1.91272071420763,B,1.53292151085139,1,0.4,zp,s2,fy,ntb,k,z,0.025233
N,212822,d,R,gmz,3.31662,I,1.78799931448079,B,1.39077471069573,6,0.4,zp,s2,bf,fcc,k,z,0.12498
N,202363,d,S,gmz,2.82843,I,1.66225689650065,B,1.37442912332471,0,0.31623,zp,s2,fy,ntb,j,z,1.1017
N,528700,d,N,gmz,3,I,1.62190255967221,A,1.35832092073752,11,0.31623,zp,s2,bf,ntb,j,x,3.4746
N,313886,b,S,gmz,2.64575,I,1.58231568968022,B,1.36194822530906,1,0.31623,kc,s2,fy,dgk,j,z,1.4485
N,416252,c,N,gmz,3.4641,K,1.96373190417304,A,1.43393308599249,14,0.44721,sm,s2,jl,ntb,j,u,5.1903
N,462965,d,P,gnq,3.4641,K,1.73601407706607,B,1.30083307738714,11,0.37417,sm,s2,fy,ntb,j,z,0.86239
N,515987,b,O,gmz,3.4641,I,1.76427350742559,A,1.39077471069573,6,0.37417,sm,s2,fy,ntb,j,y,0.44865
Y,4870,b,Y,gmz,3.16228,H,1.75418158667837,A,1.39269230587691,7,0.37417,zp,s2,bf,ntb,j,w,3.4739
Y,140392,d,R,gmz,3.4641,J,1.78066214888784,A,1.37081322956934,4,0.4,zp,s3,bf,ntb,j,y,5.5346
N,406020,b,U,gmz,2.23607,K,1.5440868074133,A,1.37749374304409,14,0.31606,zp,s2,jl,ntb,j,v,1.23
N,249242,b,S,gmz,3.16228,I,1.94787478975697,B,1.4147273770427,16,0.4,sm,s2,fy,ntb,j,s,1.2832
N,252710,d,R,gmz,3.31662,I,1.61938608090173,A,1.28878503667418,11,0.31623,kc,s2,fy,fcc,j,z,0.33014
Y,71265,d,N,gmz,2.82843,J,1.66541863467923,A,1.32786321875079,7,0.37417,zp,s6,bf,ntb,j,u,0.8705
N,191407,e,N,gmz,2,J,1.60341206515069,A,1.38262473529539,0,0.31606,zp,s2,jl,ntb,j,v,1.4506
N,174376,b,R,gmz,2.82843,J,1.62853659321717,A,1.32923906478392,14,0.31623,zp,s2,jl,ntb,j,z,0.55478
N,465143,d,O,gmz,2.44949,I,1.68397591433122,A,1.39242527235163,11,0.42427,sm,s2,jl,fcc,j,y,1.3858
N,306205,d,N,gmz,3.74166,J,2.08082624126762,A,1.3391103424175,11,0.4,zp,s2,fy,ntb,k,z,1.3436
N,182560,d,R,gmz,3.16228,K,1.63667075617534,A,1.3615241081238,0,0.31623,kc,s2,fy,ntb,j,y,4.7044
N,332664,b,S,gmz,2.44949,I,1.60981001921984,A,1.38871130920176,11,0.31623,zp,s2,jl,ntb,j,z,2.1789
N,547323,d,R,gmz,3.60555,L,1.80212561436663,B,1.31031525250543,0,0.31623,zp,s2,ix,ntb,k,z,0.80987
N,303115,d,R,gmz,3,J,1.62504639735536,A,1.36878405350482,11,0.31623,sm,s2,bf,ntb,j,z,5.5967
Y,580870,c,N,gnq,3.16228,I,2.7260362274015,A,1.41712661656807,17,0.44721,zp,s2,fy,ntb,k,x,5.7471
N,17348,d,R,gmz,3.4641,K,1.78415247457948,A,1.32015829066655,4,0.31623,zp,s2,bf,fcc,j,y,1.4347
Y,326402,b,S,gnq,3.31662,L,1.73825838136873,A,1.39434023408806,4,0.4,sm,s2,jl,ntb,k,w,2.0131
N,436353,b,S,gmz,2.82843,J,1.59698151294933,A,1.36878405350482,11,0.31623,sm,s2,jl,dgk,j,y,4.2869
N,107860,e,R,gnq,0,K,1.45292813514559,A,1.4549632407222,1,0.31528,kc,s2,bf,fcc,j,z,1.0028
Y,564560,d,N,gnq,2.82843,I,1.72955201257513,A,1.32480430212932,10,0.37417,zp,s2,bf,ntb,k,v,0.54415
N,372552,d,N,gmz,2.23607,K,1.57388622100512,A,1.34567833743509,6,0.36879,zp,s2,fy,ntb,j,w,3.1974
N,513095,d,N,gmz,2.82843,J,1.64984866684253,A,1.39077471069573,6,0.4,zp,s2,bf,fcc,j,w,0.5079
N,480481,b,O,gmz,3.74166,L,1.86397150023912,B,1.37682841012114,9,0.31623,sm,s2,bf,ntb,j,z,0.056065
Y,558479,d,N,gnq,3.74166,K,2.1823214715343,A,1.35453987410878,14,0.4,zp,s2,fy,ntb,k,y,0.052514
Y,335493,d,R,gnq,0,H,1.48382216305678,A,1.37616821553347,11,0.39975,sm,s2,ix,ntb,j,y,0.4725
N,44753,b,O,gmz,2.64575,L,1.87401401117558,A,1.42953158193778,13,0.44721,zp,s2,bf,ntb,j,x,0.1017
N,443883,d,N,gmz,3.4641,L,1.68013045161322,A,1.29665746759261,4,0.31623,zp,s2,fy,dgk,j,z,1.5625
N,111672,b,S,gmz,2.82843,H,1.65987592583321,A,1.39269230587691,7,0.37417,zp,s2,fy,ntb,j,z,2.634
N,198524,b,O,gmz,3.31662,I,1.59552134229485,A,1.35070901778896,1,0.31623,kc,s2,bf,ntb,j,z,4.3508
N,413750,d,N,gnq,3.4641,L,1.78272563224325,A,1.37081322956934,4,0.4,zp,s2,ix,ntb,j,y,0.8415
N,527518,d,R,gmz,3.74166,M,1.84577958000085,A,1.37457258709298,0,0.31623,zp,s2,fy,fcc,j,z,1.508
N,127840,d,R,gmz,3.16228,I,1.67938481514359,A,1.36851749463161,14,0.31623,zp,s2,ix,ntb,j,y,2.6821
N,311551,d,N,gmz,2.64575,J,1.59088954538982,A,1.30166444703639,1,0.31623,zp,s2,bf,ntb,k,w,0.8065
N,523400,d,R,gmz,3.60555,J,1.96009033453272,A,1.38262473529539,0,0.4,zp,s2,bf,fcc,k,z,1.0706
N,453595,d,N,gmz,3.60555,I,1.70816649424668,B,1.35070901778896,1,0.31623,zp,s2,jl,fcc,j,z,0.43803
N,115733,b,O,gmz,3.31662,K,1.70325763217114,A,1.36851749463161,14,0.31623,zp,s2,fy,ntb,j,x,0.74655
N,121881,d,R,gmz,3.4641,L,1.71904013542394,A,1.35985669513123,1,0.31623,zp,s2,bf,ntb,j,u,1.9507
N,238649,b,S,gmz,3.60555,K,1.92726869590869,A,1.40235862929909,3,0.4,sm,s2,bf,ntb,j,x,1.3628
Y,59401,d,N,gmz,2.82843,J,1.76899272375343,A,1.32862399375346,10,0.37417,zp,s4,fy,ntb,j,u,0.98541
Y,404965,d,R,gmz,3.60555,I,1.79430521131964,A,1.31811594916866,11,0.31623,zp,s5,ix,fcc,k,w,0.96382
N,523240,d,N,gmz,3.60555,I,1.66373357459818,A,1.29665746759261,17,0.33166,zp,s2,bf,ntb,j,u,1.4232
N,270706,d,N,gmz,1,J,1.55573326058348,A,1.37442912332471,11,0.39975,zp,s2,fy,ntb,j,x,1.8771
N,580530,b,R,gmz,3.74166,J,1.90286330529995,A,1.3814440608284,1,0.37417,sm,s6,jl,ntb,j,z,0.6871
N,540529,d,N,gmz,2.82843,J,1.59552226189358,A,1.36878405350482,11,0.31623,sm,s2,fy,ntb,j,z,1.9433
N,391158,d,N,gmz,3.74166,J,1.7500834648569,A,1.32923906478392,14,0.31623,zp,s2,fy,ntb,j,x,1.5973
N,391380,e,N,gmz,3.4641,K,1.73995936345216,B,1.36674822318066,4,0.31623,zp,s2,fy,fcc,j,w,1.6879
N,13493,b,N,gmz,3.74166,K,1.87473402133927,A,1.39269230587691,4,0.4,zp,s2,bf,fcc,j,z,0.069238
Y,329845,d,N,gnq,3.31662,I,1.77478962207703,A,1.38497580928181,11,0.37417,zp,s2,bf,ntb,j,y,5.1689
N,37493,b,O,gmz,2.64575,I,1.70859898133453,B,1.37881265963774,10,0.37417,zp,s2,bf,ntb,k,t,0.32795
Y,96819,d,R,gmz,3.74166,M,2.67068110949553,B,1.45629774382045,0,0.44721,sm,s8,fy,ntb,k,u,3.867
Y,344288,d,R,gnq,3.60555,K,1.92348136589553,B,1.29833265683333,15,0.38729,zp,s6,fy,ntb,j,t,3.7711
N,415332,b,S,gmz,3.60555,I,1.9941330236758,A,1.4121803018517,4,0.4,sm,s2,jl,ntb,j,s,0.10346
N,62292,b,N,gmz,3.60555,L,2.12077793128763,A,1.44192153054649,1,0.42427,zp,s2,bf,ntb,k,x,1.0149
Y,542608,d,N,gnq,3.74166,L,2.13821667725684,A,1.33615295852196,10,0.38729,sm,s2,bf,ntb,j,u,1.1885
N,403470,d,R,gmz,3.60555,I,1.77829689681493,A,1.37549201350223,0,0.31623,sm,s2,jl,ntb,j,y,4.8882
N,395040,d,N,gmz,3,K,1.7448374128718,A,1.40620840008864,11,0.44721,zp,s2,bf,fcc,j,x,4.6575
N,121999,d,S,gmz,2.23607,J,1.68270369845114,A,1.40249206392699,11,0.44587,zp,s2,bf,ntb,j,x,0.8841
N,572952,b,S,gmz,3,L,1.61956480841782,A,1.36878405350482,11,0.31623,sm,s2,jl,fcc,j,y,1.609
N,472236,b,U,gmz,3.16228,I,1.68742659705165,A,1.3615241081238,0,0.31623,zp,s2,jl,fcc,k,z,0.088658
N,281187,d,R,gmz,3.31662,J,1.74270972581968,A,1.32786321875079,7,0.37417,zp,s2,jl,fcc,k,x,2.3471
Y,506320,d,N,gmz,3,I,1.6511020323637,A,1.3615241081238,0,0.31623,zp,s2,bf,ntb,j,w,2.2311
N,429367,d,N,gmz,3.74166,J,1.88839005209725,A,1.30967696558459,3,0.4,zp,s2,bf,fcc,j,u,1.2451
N,220656,b,S,gmz,2.82843,J,1.68547172421175,A,1.39369577816193,14,0.4,sm,s2,bf,ntb,j,z,1.2468
N,541854,d,N,gmz,3,K,1.70364418554712,B,1.37081322956934,4,0.4,zp,s2,bf,ntb,j,u,1.3046
N,234330,d,N,gmz,3.16228,I,2.17718249859189,A,1.42130064146563,2,0.42427,zp,s2,jl,ntb,j,y,1.0686
N,95116,b,S,gmz,3.4641,J,1.79322211404362,B,1.37081322956934,4,0.4,sm,s2,fy,ntb,j,s,3.5275
N,577600,d,R,gmz,3,K,1.61608795301491,A,1.3615241081238,0,0.31623,kc,s2,bf,dgk,j,y,0.34472
N,511418,b,S,gmz,2,H,1.63285818544491,A,1.36331158940248,4,0.39862,zp,s2,ix,ntb,j,t,1.7107
N,61196,d,R,gmz,3.60555,J,1.72345064851867,A,1.36878405350482,11,0.31623,sm,s2,fy,ntb,j,y,3.1346
Y,536374,d,N,gnq,3.16228,J,1.7137448588521,A,1.3185859350513,11,0.37417,zp,s2,bf,ntb,j,y,0.98293
N,556742,e,N,gmz,1.73205,K,1.50518426206665,B,1.3639987733722,1,0.31606,kc,s2,bf,ntb,j,y,1.3537
N,442505,b,S,gmz,2.82843,J,1.61601704936568,A,1.36851749463161,14,0.31623,zp,s2,jl,ntb,j,z,1.0689
N,64114,d,P,gnq,3.31662,J,1.8099382586705,A,1.4129158382174,11,0.37417,zp,s2,bf,ntb,k,u,2.3736
N,449196,b,R,gmz,3,J,1.94588504903541,B,1.41857813652111,10,0.42427,sm,s2,ix,ntb,j,y,1.1984
N,554204,d,N,gmz,3.74166,K,1.89276423418301,A,1.35042883220176,1,0.37417,zp,s2,fy,fcc,k,z,1.2155
N,213212,d,R,gmz,2.64575,K,1.75635143541653,A,1.40743630513983,14,0.4,zp,s2,bf,ntb,j,x,2.7536
Y,345736,d,N,gmz,1.41421,J,1.58173803686503,A,1.30578611512232,11,0.39975,sm,s7,bf,ntb,k,u,0.085152
N,322537,c,N,gmz,3.31662,J,1.80193624974571,A,1.40620840008864,11,0.44721,zp,s2,bf,fcc,j,y,5.2293
N,232451,b,S,gmz,3.31662,K,1.74576801456104,A,1.36674822318066,6,0.37417,sm,s2,jl,ntb,j,v,0.45422
Y,151318,d,N,gmz,3.60555,K,2.11377779467463,A,1.41652462533372,10,0.42427,sm,s2,fy,ntb,j,y,1.156
N,523143,d,N,gmz,2.82843,J,1.84513659115966,B,1.4,15,0.42427,sm,s2,fy,ntb,j,w,6.9291
N,495868,d,R,gmz,3.60555,K,1.99337605275166,A,1.40866016074563,10,0.38729,sm,s2,fy,ntb,j,u,0.2065
N,475191,b,S,gmz,3.16228,L,1.83058213804019,A,1.39862756295368,0,0.4,sm,s2,bf,ntb,j,z,2.3708
Y,89660,d,N,gnq,3.60555,J,2.14581738582096,A,1.41652462533372,10,0.42427,sm,s2,jl,ntb,k,x,3.1138
N,273692,d,N,gmz,3.31662,J,1.78287954164807,A,1.32139717276664,11,0.37417,zp,s2,bf,ntb,k,u,3.8567
N,543450,d,N,gmz,3.4641,K,1.66378783556068,A,1.30707859815199,14,0.31623,kc,s2,jl,fcc,j,y,2.7642
N,455064,d,R,gmz,3.60555,L,1.82375740591001,A,1.32480430212932,1,0.31623,sm,s2,bf,fcc,j,z,0.44133
N,510443,b,U,gmz,2.82843,J,1.73922396987906,A,1.39862756295368,0,0.4,sm,s2,jl,ntb,j,s,4.7606
N,248349,d,N,gmz,0,J,1.59759248346192,B,1.37147959781793,11,0.46904,sm,s2,fy,ntb,j,w,0.46487
N,46972,d,N,gmz,3.4641,K,1.86211301745545,A,1.37802670489835,0,0.4,sm,s2,fy,ntb,j,y,1.379
N,423347,d,N,gmz,3,K,1.63096913534842,A,1.36878405350482,11,0.31623,sm,s2,jl,fcc,j,z,2.2199
N,20477,d,N,gmz,3.60555,I,1.97389792017254,A,1.32984397729069,15,0.38729,zp,s2,bf,fcc,j,z,0.63454
N,480555,d,R,gmz,3.4641,M,1.93596198932542,A,1.40743630513983,14,0.4,zp,s2,bf,dgk,j,w,1.1741
N,61572,d,T,gmz,3.4641,J,1.70559604546527,A,1.28878503667418,11,0.31623,zp,s2,fy,ntb,k,z,2.2747
N,445472,d,N,gmz,3.60555,I,1.75545199867873,B,1.36878405350482,1,0.31623,zp,s2,jl,ntb,j,z,1.8506
N,426950,d,N,gmz,3.74166,J,1.99041577671044,A,1.38999510294837,7,0.38729,zp,s2,bf,ntb,k,z,0.021188
Y,486437,b,Q,gmz,3.31662,H,1.80295494781221,A,1.38510148888885,11,0.37417,zp,s2,jl,fcc,j,z,2.7874
N,214888,e,T,gmz,3,I,1.68827428325102,B,1.32047615053723,6,0.37417,zp,s2,bf,ntb,j,y,0.96522
Y,134035,b,Y,gmz,3.4641,K,1.70839527304358,A,1.35832092073752,11,0.31623,sm,s8,fy,ntb,j,s,1.8135
N,319310,b,U,gmz,3.4641,I,1.7976780833988,B,1.39269230587691,7,0.37417,zp,s2,ix,dgk,k,v,3.9987
N,544552,b,S,gmz,3,L,1.69923562779949,A,1.39242527235163,11,0.37417,sm,s2,bf,fcc,j,v,0.87823
N,3844,e,N,gmz,2.23607,K,1.63782436998855,A,1.4449728623173,1,0.36056,zp,s2,bf,ntb,j,y,1.0003
N,294381,d,S,gmz,3,K,1.63116741622118,A,1.3615241081238,0,0.31623,zp,s2,bf,ntb,k,y,5.4138
Y,481755,c,N,gmz,3.4641,K,2.48625839963632,A,1.38665237400089,5,0.42427,sm,s2,bf,ntb,k,u,0.86219
Y,130529,d,P,gmz,3.74166,I,1.84875553296403,B,1.31811594916866,11,0.31623,zp,s2,fy,ntb,j,z,3.4829
N,80715,d,R,gmz,3.4641,J,1.69730325675108,A,1.35832092073752,11,0.31623,zp,s2,jl,fcc,j,z,0.2962
N,380510,d,R,gmz,1.73205,I,1.51910036780259,A,1.33075581505796,11,0.31623,zp,s2,bf,fcc,j,y,3.4855
N,442387,d,N,gmz,3.60555,K,2.25514443407333,A,1.49498434593149,11,0.4899,sm,s2,bf,ntb,j,v,0.045316
N,308643,d,R,gmz,3.60555,K,1.74385928926169,A,1.2991624511028,1,0.31623,zp,s2,jl,ntb,k,z,4.2249
N,239137,b,S,gmz,3.16228,L,1.83456490310933,A,1.41808620841815,6,0.4,zp,s2,bf,ntb,j,x,3.674
Y,327496,c,R,gmz,3.60555,H,1.7415166327124,A,1.29445049619833,0,0.31623,zp,s2,fy,ntb,j,z,1.6037
N,487583,d,N,gmz,3.74166,J,1.79701538317224,A,1.35985669513123,1,0.31623,zp,s2,jl,dgk,k,z,0.49116
N,488337,b,S,gmz,2.64575,I,1.64863470229143,A,1.3814440608284,1,0.37417,sm,s2,bf,fcc,j,u,0.22238
Y,348528,d,N,gmz,3.74166,H,1.80805237557163,A,1.3615241081238,0,0.31623,zp,s2,bf,fcc,k,z,2.2478
Y,300460,d,N,gnq,3,K,1.69293597759019,A,1.32480430212932,4,0.4,zp,s2,bf,ntb,j,w,5.5138
N,224213,b,N,gmz,3.60555,L,1.73398296117869,A,1.3615241081238,0,0.31623,zp,s2,jl,fcc,j,y,8.9959
N,347629,b,U,gmz,3,H,1.60346450415602,A,1.34728008950155,14,0.31623,kc,s2,bf,ntb,j,x,1.5208
N,330462,d,P,gmz,3.16228,J,1.64857805012365,A,1.35832092073752,11,0.31623,zp,s2,bf,fcc,j,z,0.21972
N,184164,d,N,gmz,3.4641,I,1.77615757022513,A,1.36809779389989,1,0.37417,zp,s2,bf,ntb,k,y,1.1121
N,281921,d,R,gmz,3.31662,J,1.95503819954452,B,1.4147273770427,16,0.4,sm,s2,jl,ntb,j,z,2.8058
Y,524282,d,N,gnq,2.82843,I,1.66516025385662,B,1.33406472429071,11,0.37417,kv,s2,bf,ntb,j,u,4.5518
N,261383,d,R,gmz,2.44949,J,1.66950008308821,A,1.3435152531827,1,0.37417,zp,s2,jl,fcc,k,z,4.1579
N,110850,b,N,gmz,2.44949,J,1.79408546357883,A,1.39585937822453,15,0.42427,sm,s2,jl,ntb,j,x,1.1228
Y,226445,b,U,gmz,2.82843,K,1.72541314975783,B,1.40620840008864,11,0.44721,zp,s2,bf,fcc,j,w,0.86412
N,517893,b,R,gmz,3.74166,J,1.88040923348208,A,1.32078788619816,11,0.31623,sm,s2,jl,fcc,j,z,5.3623
